종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"060310","3S","KOSDAQ","중견기업부",,"032602","전자부품 제조업","03",,"46271513","500","23135756500","원(KRW)","김세완","02-896-9474","서울특별시 금천구 가산디지털1로 75-24 1310호"
"054620","APS홀딩스","KOSDAQ","중견기업부",,"116409","기타 금융업","12",,"20394221","500","10197110500","원(KRW)","정기로","031-776-1800","경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면)"
"265520","AP시스템","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"15281421","500","7640710500","원(KRW)","김영주","031-379-2700","경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp"
"211270","AP위성","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"15082304","500","7541152000","원(KRW)","류장수","02-2026-7800","서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)",,"074605","기계장비 및 관련 물품 도매업","12",,"29534345","500","14767172500","원(KRW)","조상환","02-3412-8777","서울특별시 서초구 효령로 83 엠젠플러스빌딩 (방배동)"
"013720","CBI","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"67660032","100","6766003200","원(KRW)","오경원","032 -816 -3550","인천광역시 남동구  남동대로 208 "
"035760","CJ ENM","KOSDAQ","우량기업부",,"106002","텔레비전 방송업","12",,"21929154","5000","110577370000","원(KRW)","Ho Sung Kang, Sang Hyun Yoon","02-2107-0114","서울특별시 서초구  과천대로 870-13 "
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"5878672","500","2939336000","원(KRW)","천종식","02-6078-3456","서울특별시 중구 세종대로 14 그랜드센트럴타워 B동 7층 "
"051500","CJ프레시웨이","KOSDAQ","중견기업부",,"074603","음·식료품 및 담배 도매업","12",,"11871586","1000","11871586000","원(KRW)","정성필","02-2149-6607","경기도 용인시 기흥구  기곡로 32  "
"058820","CMG제약","KOSDAQ","우량기업부",,"032102","의약품 제조업","12",,"138892244","500","69446122000","원(KRW)","이주형","031-881-7600","서울특별시 강남구 학동로 170 베터라이프빌딩 3층(논현동) "
