종목코드,종목명,시장구분,업종코드,업종명,상장주식수,액면가,자본금
060310,3S,KOSDAQ,32602.0,전자부품 제조업,46271513.0,500,23135756500.0
054620,APS홀딩스,KOSDAQ,116409.0,기타 금융업,20394221.0,500,10197110500.0
265520,AP시스템,KOSDAQ,32902.0,특수 목적용 기계 제조업,15281421.0,500,7640710500.0
211270,AP위성,KOSDAQ,32604.0,통신 및 방송 장비 제조업,15082304.0,500,7541152000.0
013720,CBI,KOSDAQ,33003.0,자동차 신품 부품 제조업,67660032.0,100,6766003200.0
035760,CJ ENM,KOSDAQ,106002.0,텔레비전 방송업,21929154.0,5000,110577370000.0
311690,CJ 바이오사이언스,KOSDAQ,137001.0,자연과학 및 공학 연구개발업,5878672.0,500,2939336000.0
051500,CJ프레시웨이,KOSDAQ,74603.0,음·식료품 및 담배 도매업,11871586.0,1000,11871586000.0
058820,CMG제약,KOSDAQ,32102.0,의약품 제조업,138892244.0,500,69446122000.0
023460,CNH,KOSDAQ,116402.0,신탁업 및 집합투자업,37200000.0,2500,93000000000.0
065770,CS,KOSDAQ,32604.0,통신 및 방송 장비 제조업,19411130.0,500,9705565000.0
083660,CSA 코스믹,KOSDAQ,32004.0,기타 화학제품 제조업,39259818.0,500,19629909000.0
068790,DMS,KOSDAQ,32902.0,특수 목적용 기계 제조업,24573061.0,500,12286530500.0
241520,DSC인베스트먼트,KOSDAQ,116402.0,신탁업 및 집합투자업,27811403.0,500,13905701500.0
245620,EDGC,KOSDAQ,137001.0,자연과학 및 공학 연구개발업,84055931.0,100,8405593100.0
037370,EG,KOSDAQ,64102.0,토목 건설업,8287477.0,1000,8287477000.0
050120,ES큐브,KOSDAQ,74604.0,생활용품 도매업,13564086.0,5000,69092013500.0
084180,EV수성,KOSDAQ,32901.0,일반 목적용 기계 제조업,61491577.0,500,30745788500.0
214270,FSN,KOSDAQ,105802.0,소프트웨어 개발 및 공급업,27904552.0,500,13952276000.0
130500,GH신소재,KOSDAQ,31309.0,기타 섬유제품 제조업,14545052.0,500,7272526000.0
900290,GRT,KOSDAQ,116409.0,기타 금융업,67375000.0,무액면,770089223.0
083450,GST,KOSDAQ,32902.0,특수 목적용 기계 제조업,9317745.0,500,4658872500.0
297890,HB솔루션,KOSDAQ,32902.0,특수 목적용 기계 제조업,16713053.0,500,8356526500.0
078150,HB테크놀러지,KOSDAQ,32902.0,특수 목적용 기계 제조업,78990426.0,500,39495213000.0
195940,HK이노엔,KOSDAQ,32102.0,의약품 제조업,28904499.0,500,14452249500.0
028300,HLB,KOSDAQ,33101.0,선박 및 보트 건조업,106610064.0,500,53305032000.0
067630,HLB생명과학,KOSDAQ,137201.0,"건축기술, 엔지니어링 및 관련 기술 서비스업",95498081.0,500,47749040500.0
047920,HLB제약,KOSDAQ,137001.0,자연과학 및 공학 연구개발업,26624932.0,500,13312466000.0
