종목코드,종목명,매매거래정지,정리매매 종목,관리종목,투자주의환기종목,불성실공시,단일가매매대상 초저유동성종목,상장주식수 부족 우선주,단기과열종목,투자주의종목,투자경고종목,투자위험종목
"095570","AJ네트웍스","X","X","X","X","X","X","X","X","X","X","X"
"006840","AK홀딩스","X","X","X","X","X","X","X","X","X","X","X"
"027410","BGF","X","X","X","X","X","X","X","X","X","X","X"
"282330","BGF리테일","X","X","X","X","X","X","X","X","X","X","X"
"138930","BNK금융지주","X","X","X","X","X","X","X","X","X","X","X"
"001460","BYC","X","X","X","X","X","X","X","X","X","X","X"
"001465","BYC우","X","X","X","X","X","X","O","X","X","X","X"
"001040","CJ","X","X","X","X","X","X","X","X","X","X","X"
"079160","CJ CGV","X","X","X","X","X","X","X","X","X","X","X"
"00104K","CJ4우(전환)","X","X","X","X","X","X","X","X","X","X","X"
"000120","CJ대한통운","X","X","X","X","X","X","X","X","X","X","X"
"011150","CJ씨푸드","X","X","X","X","X","X","X","X","X","X","X"
"011155","CJ씨푸드1우","X","X","X","X","X","X","O","X","X","X","X"
"001045","CJ우","X","X","X","X","X","X","X","X","X","X","X"
"097950","CJ제일제당","X","X","X","X","X","X","X","X","X","X","X"
"097955","CJ제일제당 우","X","X","X","X","X","X","X","X","X","X","X"
"000590","CS홀딩스","X","X","X","X","X","X","X","X","X","X","X"
"012030","DB","X","X","X","X","X","X","X","X","X","X","X"
"016610","DB금융투자","X","X","X","X","O","X","X","X","X","X","X"
"005830","DB손해보험","X","X","X","X","X","X","X","X","X","X","X"
"000990","DB하이텍","X","X","X","X","X","X","X","X","X","X","X"
"000995","DB하이텍1우","X","X","X","X","X","X","O","X","X","X","X"
"139130","DGB금융지주","X","X","X","X","X","X","X","X","X","X","X"
"001530","DI동일","X","X","X","X","X","X","X","X","X","X","X"
"000210","DL","X","X","X","X","X","X","X","X","X","X","X"
"001880","DL건설","X","X","X","X","X","X","X","X","X","X","X"
"000215","DL우","X","X","X","X","X","X","X","X","X","X","X"
"375500","DL이앤씨","X","X","X","X","X","X","X","X","X","X","X"
"37550K","DL이앤씨우","X","X","X","X","X","X","X","X","X","X","X"
"004840","DRB동일","X","X","X","X","X","X","X","X","X","X","X"
"155660","DSR","X","X","X","X","X","X","X","X","X","X","X"
"069730","DSR제강","X","X","X","X","X","X","X","X","X","X","X"
"017940","E1","X","X","X","X","X","X","X","X","X","X","X"
"365550","ESR켄달스퀘어리츠","X","X","X","X","X","X","X","X","X","X","X"
"383220","F&F","X","X","X","X","X","X","X","X","X","X","X"
"007700","F&F홀딩스","X","X","X","X","X","X","X","X","X","X","X"
"114090","GKL","X","X","X","X","X","X","X","X","X","X","X"
"078930","GS","X","X","X","X","X","X","X","X","X","X","X"
"006360","GS건설","X","X","X","X","X","X","X","X","X","X","X"
"001250","GS글로벌","X","X","X","X","X","X","X","X","X","X","X"
"007070","GS리테일","X","X","X","X","X","X","X","X","X","X","X"
"078935","GS우","X","X","X","X","X","X","X","X","X","X","X"
"012630","HDC","X","X","X","X","X","X","X","X","X","X","X"
"039570","HDC랩스","X","X","X","X","X","X","X","X","X","X","X"
"089470","HDC현대EP","X","X","X","X","O","X","X","X","X","X","X"
"294870","HDC현대산업개발","X","X","X","X","X","X","X","X","X","X","X"
"267250","HD현대","X","X","X","X","X","X","X","X","X","X","X"
