종목코드,종목명,시장구분,업종코드,업종명,상장주식수,액면가,자본금
095570,AJ네트웍스,KOSPI,147603,산업용 기계 및 장비 임대업,46822295,1000,46822295000
006840,AK홀딩스,KOSPI,116409,기타 금융업,13247561,5000,66237805000
027410,BGF,KOSPI,116409,기타 금융업,95716791,1000,95716791000
282330,BGF리테일,KOSPI,74701,종합 소매업,17283906,1000,17283906000
138930,BNK금융지주,KOSPI,116409,기타 금융업,325935246,5000,1629676230000
001460,BYC,KOSPI,31401,봉제의복 제조업,624615,5000,4200000000
001040,CJ,KOSPI,116409,기타 금융업,29176998,5000,179047370000
079160,CJ CGV,KOSPI,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",40827874,500,20413937000
000120,CJ대한통운,KOSPI,84903,도로 화물 운송업,22812344,5000,114061720000
011150,CJ씨푸드,KOSPI,31007,기타 식품 제조업,35930773,500,18065386500
097950,CJ제일제당,KOSPI,31007,기타 식품 제조업,15054186,5000,81908095000
000590,CS홀딩스,KOSPI,116409,기타 금융업,1154482,5000,5772410000
012030,DB,KOSPI,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",201173933,500,100586966500
016610,DB금융투자,KOSPI,116601,금융 지원 서비스업,42446389,5000,212231945000
005830,DB손해보험,KOSPI,116501,보험업,70800000,500,35400000000
000990,DB하이텍,KOSPI,32601,반도체 제조업,44398588,5000,222554520000
139130,DGB금융지주,KOSPI,116409,기타 금융업,169145833,5000,845729165000
001530,DI동일,KOSPI,74601,상품 중개업,25568270,500,12784135000
000210,DL,KOSPI,116409,기타 금융업,20955884,5000,138709995000
001880,DL건설,KOSPI,64101,건물 건설업,22053284,5000,110266420000
375500,DL이앤씨,KOSPI,64102,토목 건설업,19358738,5000,107363115000
004840,DRB동일,KOSPI,32201,고무제품 제조업,19930000,500,9965000000
155660,DSR,KOSPI,32402,1차 비철금속 제조업,16000000,500,8000000000
069730,DSR제강,KOSPI,32401,1차 철강 제조업,14400000,500,7200000000
017940,E1,KOSPI,74607,기타 전문 도매업,6860000,5000,34300000000
365550,ESR켄달스퀘어리츠,KOSPI,126801,부동산 임대 및 공급업,213089000,1000,213089000000
383220,F&F,KOSPI,31401,봉제의복 제조업,38307075,100,3830707500
007700,F&F홀딩스,KOSPI,116409,기타 금융업,39114367,500,19557183500
114090,GKL,KOSPI,189102,유원지 및 기타 오락관련 서비스업,61855670,500,30927835000
078930,GS,KOSPI,116409,기타 금융업,92915378,5000,473501020000
006360,GS건설,KOSPI,64101,건물 건설업,85581490,5000,427907450000
001250,GS글로벌,KOSPI,74608,상품 종합 도매업,82533764,2500,206334410000
007070,GS리테일,KOSPI,74701,종합 소매업,104717922,1000,104717922000
012630,HDC,KOSPI,116409,기타 금융업,59741721,5000,298708605000
039570,HDC랩스,KOSPI,64203,전기 및 통신 공사업,25957601,500,12978800500
089470,HDC현대EP,KOSPI,32004,기타 화학제품 제조업,31900000,500,17200000000
294870,HDC현대산업개발,KOSPI,64101,건물 건설업,65907330,5000,329536650000
267250,HD현대,KOSPI,31902,석유 정제품 제조업,78993085,1000,81433085000
097230,HJ중공업,KOSPI,64102,토목 건설업,83274281,5000,416371405000
003580,HLB글로벌,KOSPI,20702,기타 비금속광물 광업,42165837,500,21082918500
011200,HMM,KOSPI,85001,해상 운송업,489039496,5000,2445197480000
082740,HSD엔진,KOSPI,32901,일반 목적용 기계 제조업,46721246,1000,46721246000
003560,IHQ,KOSPI,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",151378606,500,75689303000
175330,JB금융지주,KOSPI,116409,기타 금융업,196982894,5000,984914470000
234080,JW생명과학,KOSPI,32102,의약품 제조업,15834554,2500,39586385000
001060,JW중외제약,KOSPI,32102,의약품 제조업,22178081,2500,56159357500
096760,JW홀딩스,KOSPI,116409,기타 금융업,70444706,500,35222353000
