시작날짜,매도날짜,포트폴리오종목명,수익률,누적수익률,재무비율방식,연도
20050401,20060331,"['엔씨소프트', '신도리코', '동서', '대덕', '퍼시스', 'KPX케미칼', '삼영전자', '디티알오토모티브', '한국쉘석유', '모토닉']",0.261833307569689,1.261833307569689,유동성투자종목,2005
20060401,20070331,"['한화', '엔씨소프트', 'SBS', '동서', '신도리코', '퍼시스', 'KPX케미칼', '삼영전자', '모토닉', '한국쉘석유']",0.0764008635559373,1.4346393254875949,유동성투자종목,2006
20070401,20080331,"['엔씨소프트', '동서', '신도리코', '퍼시스', '모토닉', '삼영전자', '한국공항', '계양전기', '써니전자', '영풍제지']",0.1891455188406442,1.895140443896782,유동성투자종목,2007
20080401,20090331,"['SBS', '엔씨소프트', 'LS네트웍스', '동서', '신도리코', '퍼시스', '모토닉', '대덕', '삼영전자', 'SG글로벌']",-0.0385452836068446,1.7835464344051344,유동성투자종목,2008
20090401,20100331,"['CJ대한통운', '엔씨소프트', '에스원', '동서', '신도리코', 'SBS', 'LS네트웍스', '퍼시스', '삼영전자', '한국단자']",0.2268427047506185,2.414973636384535,유동성투자종목,2009
20100401,20110331,"['엔씨소프트', '유한양행', '동서', '유수홀딩스', 'SBS', 'LS네트웍스', '신도리코', '녹십자홀딩스', '한섬', '모토닉']",0.0769112241287066,2.6776234391261307,유동성투자종목,2010
20110401,20120331,"['엔씨소프트', '락앤락', '유한양행', '현대홈쇼핑', '카카오', '동서', '녹십자홀딩스', '남양유업', 'SBS', '신도리코']",0.0782572863186052,2.965424269573838,유동성투자종목,2011
20120401,20130331,"['엔씨소프트', '현대홈쇼핑', '카카오', '유한양행', '동서', '빙그레', '신도리코', '남양유업', '퍼시스', '광주신세계']",0.1989088638823838,3.7541823058464017,유동성투자종목,2012
20130401,20140331,"['유한양행', '동서', '빙그레', '카카오', '남양유업', '신도리코', '광주신세계', '모토닉', '삼영무역', '일신방직']",0.0072810988215972,3.788797977031158,유동성투자종목,2013
20140401,20150331,"['고려아연', '엔씨소프트', '영원무역', '동서', 'NHN', '엘브이엠씨홀딩스', '카카오', '빙그레', '신도리코', '현대퓨처넷']",0.1475981082557667,4.49561549926,유동성투자종목,2014
20150401,20160331,"['카카오', '엔씨소프트', '동서', 'NHN', '부광약품', '빙그레', '신도리코', '대웅제약', '씨에스윈드', '한국쉘석유']",0.0647522547786077,4.851468994233349,유동성투자종목,2015
20160401,20170331,"['고려아연', '카카오', '엔씨소프트', '동서', '잇츠한불', '부광약품', '한올바이오파마', '동양', '빙그레', '남양유업']",-0.1212788846807048,4.1418093608690025,유동성투자종목,2016
20170401,20180331,"['삼성에스디에스', '고려아연', '엔씨소프트', '동서', '한국앤컴퍼니', '부광약품', '포스코케미칼', '락앤락', '잇츠한불', '한올바이오파마']",0.5185516219564664,6.8081029447385655,유동성투자종목,2017
20180401,20190331,"['삼성에스디에스', '넷마블', '엔씨소프트', '고려아연', '강원랜드', '동서', '일진머티리얼즈', '잇츠한불', '락앤락', 'BGF']",-0.1279941197457471,5.808711681442577,유동성투자종목,2018
20190401,20200331,"['삼성에스디에스', '엔씨소프트', '넷마블', '고려아연', '동서', '한올바이오파마', '부광약품', '락앤락', 'TKG휴켐스', 'BGF']",-0.2139503495768586,4.351985437029897,유동성투자종목,2019
20200401,20210331,"['엔씨소프트', '삼성에스디에스', '넷마블', '고려아연', '동서', '부광약품', '일진머티리얼즈', '한전KPS', '한올바이오파마', '롯데리츠']",0.4001504236200339,6.493584676865662,유동성투자종목,2020
20210401,20220331,"['엔씨소프트', '삼성에스디에스', '하이브', 'SK바이오팜', '강원랜드', '신풍제약', '동서', '일진머티리얼즈', '대한유화', '부광약품']",-0.1510216136626975,5.361891426847347,유동성투자종목,2021
20220401,20230331,"['HMM', '크래프톤', '하이브', 'SK바이오사이언스', '삼성에스디에스', '엔씨소프트', '강원랜드', '일진머티리얼즈', '동서', '두산퓨얼셀']",-0.7940217123505737,0.3104115023135818,유동성투자종목,2022
20050401,20060331,"['삼성전자', 'KT&G', '삼성SDI', '아모레G', '농심', '에스원', '한온시스템', '제일기획', '동서', '한일홀딩스']",0.2067731724383843,1.2067731724383846,레버리지투자종목,2005
20060401,20070331,"['KT&G', 'NAVER', '아모레G', '롯데지주', '에스원', '엔씨소프트', '롯데칠성', '한온시스템', '동서', '대덕']",0.005304830792805,1.2184797307162722,레버리지투자종목,2006
